Product_Family,Image_URL
Cucurbitaceae,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Hodgsonia_heteroclita_male.jpg/960px-Hodgsonia_heteroclita_male.jpg
Platanaceae,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/London_plane_flower.jpg/960px-London_plane_flower.jpg
Scrophulariaceae,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Scrophularia_nodosa8.jpg/600px-Scrophularia_nodosa8.jpg
Euphorbiaceae,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Starr_020803-0119_Aleurites_moluccana.jpg/960px-Starr_020803-0119_Aleurites_moluccana.jpg
Amaranthaceae,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Amaranthus_retroflexus_full1.jpg/960px-Amaranthus_retroflexus_full1.jpg
Asteraceae,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Asteracea_poster_3.jpg/960px-Asteracea_poster_3.jpg
Thelypteridaceae,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Starr_041221-1892_Pneumatopteris_sandwicensis.jpg/960px-Starr_041221-1892_Pneumatopteris_sandwicensis.jpg
Poaceae,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Meadow_Foxtail_head.jpg/960px-Meadow_Foxtail_head.jpg
Rosaceae,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Rosa_pouzinii_FlowerCloseup_SierraMadrona.jpg/960px-Rosa_pouzinii_FlowerCloseup_SierraMadrona.jpg
Caprifoliaceae,https://upload.wikimedia.org/wikipedia/commons/b/b2/Honeysuckle_w_y.jpg
Fabaceae,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Flowering_kudzu.jpg/960px-Flowering_kudzu.jpg
Pertusariaceae,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Pertusaria_amara.jpeg/600px-Pertusaria_amara.jpeg
Agavaceae,
Iridaceae,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Crocus_vernus_ssp_albiflorus-1_%288304615362%29.jpg/960px-Crocus_vernus_ssp_albiflorus-1_%288304615362%29.jpg
Verbenaceae,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Lantana.jpg/960px-Lantana.jpg
Salicaceae,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/20110716Salix_alba.jpg/960px-20110716Salix_alba.jpg
Polypodiaceae,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/PolypodCarpet.jpg/960px-PolypodCarpet.jpg
Polygonaceae,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Polygonum_persicaria_bgiu.jpg/600px-Polygonum_persicaria_bgiu.jpg
Garryaceae,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Garrya_elliptica.jpg/600px-Garrya_elliptica.jpg
Cyperaceae,https://upload.wikimedia.org/wikipedia/commons/3/37/Pycreus.jpg
Ophioglossaceae,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Ophioglossum_closeup.jpg/960px-Ophioglossum_closeup.jpg
Gentianaceae,https://upload.wikimedia.org/wikipedia/commons/a/a6/GentianaAcaulisRannoch.jpg
Marattiaceae,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Starr_080326-3723_Angiopteris_evecta.jpg/960px-Starr_080326-3723_Angiopteris_evecta.jpg
Grimmiaceae,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Schistidium_apocarpum_%28a%2C_144454-480959%29_0639.JPG/960px-Schistidium_apocarpum_%28a%2C_144454-480959%29_0639.JPG
Hydrophyllaceae,
Roccellaceae,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Roccella_gracilis_-_Flickr_-_pellaea_%283%29.jpg/960px-Roccella_gracilis_-_Flickr_-_pellaea_%283%29.jpg
Caryophyllaceae,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Red_campion_close_700.jpg/600px-Red_campion_close_700.jpg
Malpighiaceae,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Starr_080117-1999_Galphimia_gracilis.jpg/960px-Starr_080117-1999_Galphimia_gracilis.jpg
Gesneriaceae,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/PikiWiki_Israel_32204_Saintpaulia_Ionantha.jpg/960px-PikiWiki_Israel_32204_Saintpaulia_Ionantha.jpg
Onagraceae,https://upload.wikimedia.org/wikipedia/commons/8/8a/Chamerion.latifolium.web.jpg
Parmeliaceae,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Parmelia.saxatilis_29%2CPlogoff%2CKougon.Vizen_2020-01-29_03.jpg/960px-Parmelia.saxatilis_29%2CPlogoff%2CKougon.Vizen_2020-01-29_03.jpg
Hydrocharitaceae,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/HydrocharisMorsus-ranae2.jpg/960px-HydrocharisMorsus-ranae2.jpg
Polemoniaceae,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Polemonium_caeruleum_var._nipponicum_01.jpg/960px-Polemonium_caeruleum_var._nipponicum_01.jpg
Icacinaceae,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Amruta_%28Marathi-_%E0%A4%85%E0%A4%AE%E0%A5%83%E0%A4%A4%E0%A4%BE%29_%2815379062596%29.jpg/960px-Amruta_%28Marathi-_%E0%A4%85%E0%A4%AE%E0%A5%83%E0%A4%A4%E0%A4%BE%29_%2815379062596%29.jpg
Dicranaceae,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Dicranum_scoparium_2005.11.13_12.32.51-pb130023.jpg/960px-Dicranum_scoparium_2005.11.13_12.32.51-pb130023.jpg
Brassicaceae,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Barbarea_vulgaris_002.JPG/960px-Barbarea_vulgaris_002.JPG
Myrtaceae,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Myrtus_communis.jpg/600px-Myrtus_communis.jpg
Lamiaceae,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Lamium_purpureum_jamestown1.jpg/600px-Lamium_purpureum_jamestown1.jpg
Chenopodiaceae,
Orthotrichaceae,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Orthotrichum_striatum_%28a%2C_144711-474707%29_5605.JPG/960px-Orthotrichum_striatum_%28a%2C_144711-474707%29_5605.JPG
Campanulaceae,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Campanula_cespitosa.jpg/600px-Campanula_cespitosa.jpg
Grossulariaceae,
Rutaceae,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Skimmia_reevesiana2.jpg/600px-Skimmia_reevesiana2.jpg
Rhachitheciaceae,
Orchidaceae,
Lycopodiaceae,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Lycopodium_annotinum1.jpg/960px-Lycopodium_annotinum1.jpg
Candelariaceae,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Candelariella_xanthostigma_a1_%286%29.JPG/960px-Candelariella_xanthostigma_a1_%286%29.JPG
Pottiaceae,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Tortula_muralis_%2824477947586%29.jpg/960px-Tortula_muralis_%2824477947586%29.jpg
Dryopteridaceae,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Dryopteris_carthusiana.jpg/960px-Dryopteris_carthusiana.jpg
Crassulaceae,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Crassula_perfoliata%2C_Allan_Gardens.jpg/960px-Crassula_perfoliata%2C_Allan_Gardens.jpg
Araliaceae,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Aralia_elata_en_fleur4081.jpg/600px-Aralia_elata_en_fleur4081.jpg
Clusiaceae,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Clusia_rosea_botanical.jpg/600px-Clusia_rosea_botanical.jpg
Funariaceae,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Funaria_hygrometrica1.jpg/960px-Funaria_hygrometrica1.jpg
Gyalectaceae,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Gyalecta_jenensis_280208.jpg/960px-Gyalecta_jenensis_280208.jpg
Violaceae,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Viola_hedercea01.jpg/960px-Viola_hedercea01.jpg
Alismataceae,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Sagittaria_latifolia_%28flowers%29.jpg/960px-Sagittaria_latifolia_%28flowers%29.jpg
Pteridaceae,https://upload.wikimedia.org/wikipedia/commons/7/7e/Pityrogramma_austroamericana.jpg
Ranunculaceae,https://upload.wikimedia.org/wikipedia/commons/5/57/Ranunculus_auricomis.jpg
Gomphillaceae,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Gomphillus_americanus_122758.jpg/960px-Gomphillus_americanus_122758.jpg
Selaginellaceae,
Cistaceae,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Cistus_incanus_2004.jpg/600px-Cistus_incanus_2004.jpg
Cactaceae,
Cornaceae,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Cornus_suecica_Ume_River.jpg/960px-Cornus_suecica_Ume_River.jpg
Lecanoraceae,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Lecidella_carpathica.jpg/600px-Lecidella_carpathica.jpg
Apiaceae,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Umbelliferae-apium-daucus-foeniculum-eryngium-petroselinum.jpg/960px-Umbelliferae-apium-daucus-foeniculum-eryngium-petroselinum.jpg
Verrucariaceae,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Verrucaria_nigrescens_080408.jpg/960px-Verrucaria_nigrescens_080408.jpg
Acarosporaceae,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Sarcogyne_regularis-1.jpg/600px-Sarcogyne_regularis-1.jpg
Acanthaceae,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Acanthus_mollis_spike_pair_Erice.jpg/960px-Acanthus_mollis_spike_pair_Erice.jpg
Bryaceae,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Mosses_on_a_tombstone.jpg/960px-Mosses_on_a_tombstone.jpg
Physciaceae,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Physcia_aipolia_1729228.jpg/960px-Physcia_aipolia_1729228.jpg
Malvaceae,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Malva_parviflora_small.jpg/960px-Malva_parviflora_small.jpg
Thelotremataceae,
Anacardiaceae,https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Cashewnuts_hanging_on_a_Cashew_Tree.jpg/960px-Cashewnuts_hanging_on_a_Cashew_Tree.jpg
Loasaceae,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Loasa_vulcanica_-_Andre.jpg/960px-Loasa_vulcanica_-_Andre.jpg
Ericaceae,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Leptecophylla_juniperina.jpg/960px-Leptecophylla_juniperina.jpg
Liliaceae,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/ShoshanTzachor-2-wiki-Zachi-Evenor.jpg/960px-ShoshanTzachor-2-wiki-Zachi-Evenor.jpg
Fagaceae,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Fagus_sylvatica_020-2.jpg/960px-Fagus_sylvatica_020-2.jpg
Bartramiaceae,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Philonotis_calcarea_2005.07.31_10.28.02.jpg/600px-Philonotis_calcarea_2005.07.31_10.28.02.jpg
Boraginaceae,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/B._officinalis-flor-1.JPG/960px-B._officinalis-flor-1.JPG
Polytrichaceae,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Polytrichum.commune.2.jpg/600px-Polytrichum.commune.2.jpg
Sapindaceae,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Lychee.jpg/960px-Lychee.jpg
Viscaceae,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Ruhland%2C_Bernsdorfer_Str._36%2C_Laubholzmistel_auf_Apfelbaum%2C_Vorwinter%2C_02.jpg/960px-Ruhland%2C_Bernsdorfer_Str._36%2C_Laubholzmistel_auf_Apfelbaum%2C_Vorwinter%2C_02.jpg
Rubiaceae,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Luculia_gratissima.jpg/960px-Luculia_gratissima.jpg
Lichinaceae,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Lichinella_cribellifera_6160711.jpg/960px-Lichinella_cribellifera_6160711.jpg
Capparaceae,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Capullito_capullito.JPG/960px-Capullito_capullito.JPG
Sterculiaceae,
Nyctaginaceae,https://upload.wikimedia.org/wikipedia/commons/d/da/Mirabilisjalapa_yellow.jpg
Pedaliaceae,https://upload.wikimedia.org/wikipedia/commons/e/e2/Uncarina_grandidieri1.jpg
Asclepiadaceae,
Pleomassariaceae,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Beverwykella_pulmonaria_1334219.jpg/960px-Beverwykella_pulmonaria_1334219.jpg
Simmondsiaceae,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Simmondsia_chinensis_form.jpg/960px-Simmondsia_chinensis_form.jpg
Solorinellaceae,
Thymelaeaceae,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Thymelaea_hirsuta_kz2.jpg/960px-Thymelaea_hirsuta_kz2.jpg
Hymeneliaceae,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Tremolecia_atrata.jpg/960px-Tremolecia_atrata.jpg
Pyrenulaceae,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Lithothelium_hyalosporum_583267.jpg/960px-Lithothelium_hyalosporum_583267.jpg
Betulaceae,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Alnus_glutinosa.jpg/960px-Alnus_glutinosa.jpg
Ditrichaceae,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Ditrichum_heteromallum_%28a%2C_144119-473025%29_7059.JPG/960px-Ditrichum_heteromallum_%28a%2C_144119-473025%29_7059.JPG
Oleaceae,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Olive-tree-fruit-august-0.jpg/960px-Olive-tree-fruit-august-0.jpg
Saxifragaceae,https://upload.wikimedia.org/wikipedia/commons/4/41/Foamflower.jpg
Thelenellaceae,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/T_muscorum1.jpg/960px-T_muscorum1.jpg
Rhamnaceae,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Rhamnus_pumila_Atlas_Alpenflora.jpg/960px-Rhamnus_pumila_Atlas_Alpenflora.jpg
Convolvulaceae,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Starr_040711-0402_Ipomoea_imperati.jpg/960px-Starr_040711-0402_Ipomoea_imperati.jpg
Uncertain Ascomycota Family,
Menyanthaceae,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Menyanthes_trifoliata_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-225.jpg/960px-Menyanthes_trifoliata_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-225.jpg
Zingiberaceae,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Tropical_plant_hilo5.jpg/960px-Tropical_plant_hilo5.jpg
